State,District,Market,Commodity Group,Commodity,Date,MSP,Arrival Quantity,Arrival Unit,Min Price ,Modal Price,Max Price,Price Unit
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,24-08-23,-,0.1,Metric Tonnes,2960,2980,3000,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,24-08-23,0,1.7,Metric Tonnes,1730,1760,1790,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,24-08-23,0,280,Metric Tonnes,950,990,1030,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,24-08-23,0,0.2,Metric Tonnes,3550,3600,3650,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,25-08-23,-,0.1,Metric Tonnes,2920,2950,2980,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,25-08-23,0,1.6,Metric Tonnes,1760,1800,1840,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,25-08-23,0,270,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,25-08-23,0,0.2,Metric Tonnes,3050,3100,3150,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,26-08-23,-,0.1,Metric Tonnes,2880,2900,2920,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Onion,26-08-23,0,1.7,Metric Tonnes,1740,1770,1800,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,26-08-23,0,290,Metric Tonnes,940,980,1020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Tomato,26-08-23,0,0.2,Metric Tonnes,2940,2980,3020,Rs./Quintal
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Lemon,27-08-23,-,0.1,Metric Tonnes,2900,2930,2960,Rs./Quintal
